max_depth,n_estimators,subsample,CrossValidationSet,Measurement,Drug,Concentration_Original,Concentration,Validation Spearman,Training MAE,Validation MAE
1,30,1,4,GrowthYield,TRIM,0.125,1,0.498178601,0.652463555,0.643613506
1,30,1,4,DoublingTime,TRIM,0.25,2,0.434279163,0.151725463,0.165430025
1,30,1,4,GrowthYield,TRIM,0.25,2,0.501628874,0.868768785,0.861482856
1,30,1,4,DoublingTime,TRIM,0.5,3,0.216328471,0.166470145,0.165820597
1,30,1,4,GrowthYield,TRIM,0.5,3,0.605338474,1.152533285,1.086192633
1,60,0.8,1,DoublingTime,NoAntimicrbial,NA,2,0.430807861,0.243649881,0.263098899
1,60,0.8,1,GrowthYield,NoAntimicrbial,NA,2,0.392684051,0.549626049,0.536240579
1,60,0.8,1,DoublingTime,CAM,0.5,1,0.060641845,0.126348388,0.137353718
1,60,0.8,1,GrowthYield,CAM,0.5,1,0.253005375,0.201324567,0.209257446
1,60,0.8,1,DoublingTime,CAM,1,2,0.06896587,0.122367762,0.144382337
1,60,0.8,1,GrowthYield,CAM,1,2,0.373830371,0.286575491,0.300549358
1,60,0.8,1,DoublingTime,CAM,2,3,0.413727435,0.19446545,0.198601633
1,60,0.8,1,GrowthYield,CAM,2,3,0.511710921,0.511106349,0.556533862
